"ID";"Description";"Country";"SkillDescription";"Description";"Amount";"Rating"
"418";"Chicago, Illinois";"US";"powerpoint";"analysis_software";3;0,0037594
"419";"Chicago, Illinois";"US";"python";"program_languages";308;0,385965
"420";"Chicago, Illinois";"US";"r";"program_languages";301;0,377193
"421";"Chicago, Illinois";"US";"rdbms";"databases";7;0,00877193
"422";"Chicago, Illinois";"US";"ruby";"program_languages";30;0,037594
"423";"Chicago, Illinois";"US";"saas";"analysis_software";1;0,00125313
"424";"Chicago, Illinois";"US";"sas";"analysis_software";222;0,278196
"425";"Chicago, Illinois";"US";"scala";"program_languages";11;0,0137845
"426";"Chicago, Illinois";"US";"scipy";"analysis_software";21;0,0263158
"427";"Chicago, Illinois";"US";"shark";"bigdata_tool";1;0,00125313
"428";"Chicago, Illinois";"US";"spark";"bigdata_tool";41;0,0513784
"429";"Chicago, Illinois";"US";"splunk";"analysis_software";6;0,0075188
"430";"Chicago, Illinois";"US";"spotfire";"analysis_software";3;0,0037594
"431";"Chicago, Illinois";"US";"spss";"analysis_software";145;0,181704
"432";"Chicago, Illinois";"US";"sql";"databases";163;0,204261
"433";"Chicago, Illinois";"US";"tableau";"analysis_software";28;0,0350877
"434";"Chicago, Illinois";"US";"zookeeper";"bigdata_tool";3;0,0037594
"435";"Detroit, Michigan";"US";"c++";"program_languages";16;0,0446927
"436";"Detroit, Michigan";"US";"d3";"analysis_software";2;0,00558659
"437";"Detroit, Michigan";"US";"excel";"analysis_software";92;0,256983
"438";"Detroit, Michigan";"US";"hadoop";"bigdata_tool";86;0,240223
"439";"Detroit, Michigan";"US";"hive";"bigdata_tool";42;0,117318
"440";"Detroit, Michigan";"US";"java";"program_languages";39;0,108939
"441";"Detroit, Michigan";"US";"javascript";"program_languages";2;0,00558659
"442";"Detroit, Michigan";"US";"mahout";"bigdata_tool";9;0,0251397
"443";"Detroit, Michigan";"US";"matlab";"program_languages";102;0,284916
"444";"Detroit, Michigan";"US";"perl";"program_languages";26;0,0726257
"445";"Detroit, Michigan";"US";"php";"program_languages";2;0,00558659
"446";"Detroit, Michigan";"US";"pig";"bigdata_tool";45;0,125698
"447";"Detroit, Michigan";"US";"powerpoint";"analysis_software";1;0,0027933
"448";"Detroit, Michigan";"US";"python";"program_languages";73;0,203911
"449";"Detroit, Michigan";"US";"r";"program_languages";140;0,391061
"450";"Detroit, Michigan";"US";"rdbms";"databases";28;0,0782123
"451";"Detroit, Michigan";"US";"ruby";"program_languages";2;0,00558659
"452";"Detroit, Michigan";"US";"sas";"analysis_software";109;0,304469
"453";"Detroit, Michigan";"US";"scala";"program_languages";2;0,00558659
"454";"Detroit, Michigan";"US";"shark";"bigdata_tool";3;0,00837989
"455";"Detroit, Michigan";"US";"spark";"bigdata_tool";36;0,100559
"456";"Detroit, Michigan";"US";"sql";"databases";151;0,421788
"457";"Detroit, Michigan";"US";"tableau";"analysis_software";41;0,114525
"458";"New York, New York";"US";"bash";"program_languages";9;0,0027582
"459";"New York, New York";"US";"c++";"program_languages";681;0,208704
"460";"New York, New York";"US";"cassandra";"databases";11;0,00337113
"461";"New York, New York";"US";"d3";"analysis_software";52;0,0159363
"462";"New York, New York";"US";"excel";"analysis_software";980;0,300337
"463";"New York, New York";"US";"flume";"bigdata_tool";3;0,000919399
"464";"New York, New York";"US";"hadoop";"bigdata_tool";520;0,159363
"465";"New York, New York";"US";"hbase";"databases";28;0,00858106
"466";"New York, New York";"US";"hive";"bigdata_tool";158;0,0484217
"467";"New York, New York";"US";"java";"program_languages";637;0,195219
"468";"New York, New York";"US";"javascript";"program_languages";97;0,0297272
"469";"New York, New York";"US";"mahout";"bigdata_tool";5;0,00153233
"470";"New York, New York";"US";"mapreduce";"bigdata_tool";2;0,000612933
"471";"New York, New York";"US";"matlab";"program_languages";107;0,0327919
"472";"New York, New York";"US";"mssql";"databases";1;0,000306466
"473";"New York, New York";"US";"numpy";"analysis_software";9;0,0027582
"474";"New York, New York";"US";"oozie";"bigdata_tool";2;0,000612933
"475";"New York, New York";"US";"pandas";"analysis_software";25;0,00766166
"476";"New York, New York";"US";"perl";"program_languages";324;0,0992951
"477";"New York, New York";"US";"php";"program_languages";108;0,0330984
"478";"New York, New York";"US";"pig";"bigdata_tool";49;0,0150169
"479";"New York, New York";"US";"powerpoint";"analysis_software";69;0,0211462
"480";"New York, New York";"US";"python";"program_languages";982;0,30095
"481";"New York, New York";"US";"r";"program_languages";1121;0,343549
"482";"New York, New York";"US";"rdbms";"databases";4;0,00122587
"483";"New York, New York";"US";"ruby";"program_languages";63;0,0193074
"484";"New York, New York";"US";"sas";"analysis_software";262;0,0802942
"485";"New York, New York";"US";"scala";"program_languages";112;0,0343242
"486";"New York, New York";"US";"scipy";"analysis_software";9;0,0027582
"487";"New York, New York";"US";"shark";"bigdata_tool";4;0,00122587
"488";"New York, New York";"US";"spark";"bigdata_tool";138;0,0422924
"489";"New York, New York";"US";"splunk";"analysis_software";17;0,00520993
"490";"New York, New York";"US";"spotfire";"analysis_software";225;0,068955
"491";"New York, New York";"US";"spss";"analysis_software";85;0,0260496
"492";"New York, New York";"US";"sql";"databases";841;0,257738
"493";"New York, New York";"US";"tableau";"analysis_software";53;0,0162427
"494";"New York, New York";"US";"zookeeper";"bigdata_tool";1;0,000306466
"495";"San Francisco, Calif";"US";"bash";"program_languages";186;0,0631365
"496";"San Francisco, Calif";"US";"c++";"program_languages";319;0,108282
"497";"San Francisco, Calif";"US";"cassandra";"databases";32;0,0108622
"498";"San Francisco, Calif";"US";"d3";"analysis_software";37;0,0125594
"499";"San Francisco, Calif";"US";"excel";"analysis_software";172;0,0583843
"500";"San Francisco, Calif";"US";"hadoop";"bigdata_tool";1047;0,355397
"501";"San Francisco, Calif";"US";"hbase";"databases";35;0,0118805
"502";"San Francisco, Calif";"US";"hive";"bigdata_tool";725;0,246096
"503";"San Francisco, Calif";"US";"java";"program_languages";933;0,316701
"504";"San Francisco, Calif";"US";"javascript";"program_languages";81;0,0274949
"505";"San Francisco, Calif";"US";"mahout";"bigdata_tool";11;0,00373388
"506";"San Francisco, Calif";"US";"mapreduce";"bigdata_tool";2;0,000678887
"507";"San Francisco, Calif";"US";"matlab";"program_languages";150;0,0509165
"508";"San Francisco, Calif";"US";"mssql";"databases";4;0,00135777
"509";"San Francisco, Calif";"US";"nosql";"databases";2;0,000678887
"510";"San Francisco, Calif";"US";"numpy";"analysis_software";9;0,00305499
"511";"San Francisco, Calif";"US";"oozie";"bigdata_tool";5;0,00169722
"512";"San Francisco, Calif";"US";"pandas";"analysis_software";197;0,0668703
"513";"San Francisco, Calif";"US";"perl";"program_languages";236;0,0801086
"514";"San Francisco, Calif";"US";"php";"program_languages";46;0,0156144
"515";"San Francisco, Calif";"US";"pig";"bigdata_tool";457;0,155126
"516";"San Francisco, Calif";"US";"postgresql";"databases";2;0,000678887
"517";"San Francisco, Calif";"US";"powerpoint";"analysis_software";5;0,00169722
"518";"San Francisco, Calif";"US";"python";"program_languages";1249;0,423965
"519";"San Francisco, Calif";"US";"r";"program_languages";1229;0,417176
"520";"San Francisco, Calif";"US";"rdbms";"databases";21;0,00712831
"521";"San Francisco, Calif";"US";"ruby";"program_languages";101;0,0342838
"522";"San Francisco, Calif";"US";"saas";"analysis_software";2;0,000678887
"523";"San Francisco, Calif";"US";"sas";"analysis_software";349;0,118466
"524";"San Francisco, Calif";"US";"scala";"program_languages";252;0,0855397
"525";"San Francisco, Calif";"US";"scipy";"analysis_software";7;0,0023761
"526";"San Francisco, Calif";"US";"shark";"bigdata_tool";172;0,0583843
"527";"San Francisco, Calif";"US";"spark";"bigdata_tool";560;0,190088
"528";"San Francisco, Calif";"US";"splunk";"analysis_software";192;0,0651731
"529";"San Francisco, Calif";"US";"spotfire";"analysis_software";10;0,00339443
"530";"San Francisco, Calif";"US";"sps";"analysis_software";4;0,00135777
"531";"San Francisco, Calif";"US";"spss";"analysis_software";83;0,0281738
"532";"San Francisco, Calif";"US";"sql";"databases";958;0,325187
"533";"San Francisco, Calif";"US";"tableau";"analysis_software";251;0,0852003
"534";"San Francisco, Calif";"US";"zookeeper";"bigdata_tool";2;0,000678887
"535";"Seattle, Washington";"US";"bash";"program_languages";3;0,00181378
"536";"Seattle, Washington";"US";"c++";"program_languages";121;0,073156
"537";"Seattle, Washington";"US";"cassandra";"databases";25;0,0151149
"538";"Seattle, Washington";"US";"d3";"analysis_software";28;0,0169287
"539";"Seattle, Washington";"US";"excel";"analysis_software";124;0,0749698
"540";"Seattle, Washington";"US";"hadoop";"bigdata_tool";170;0,102781
"541";"Seattle, Washington";"US";"hbase";"databases";11;0,00665054
"542";"Seattle, Washington";"US";"hive";"bigdata_tool";142;0,0858525
"543";"Seattle, Washington";"US";"java";"program_languages";424;0,256348
"544";"Seattle, Washington";"US";"javascript";"program_languages";96;0,0580411
"545";"Seattle, Washington";"US";"mahout";"bigdata_tool";19;0,0114873
"546";"Seattle, Washington";"US";"mapreduce";"bigdata_tool";3;0,00181378
"547";"Seattle, Washington";"US";"matlab";"program_languages";59;0,0356711
"548";"Seattle, Washington";"US";"mssql";"databases";1;0,000604595
"549";"Seattle, Washington";"US";"numpy";"analysis_software";5;0,00302297
"550";"Seattle, Washington";"US";"pandas";"analysis_software";5;0,00302297
"551";"Seattle, Washington";"US";"perl";"program_languages";90;0,0544135
"552";"Seattle, Washington";"US";"php";"program_languages";95;0,0574365
"553";"Seattle, Washington";"US";"pig";"bigdata_tool";57;0,0344619
"554";"Seattle, Washington";"US";"powerpoint";"analysis_software";9;0,00544135
"555";"Seattle, Washington";"US";"python";"program_languages";384;0,232164
"556";"Seattle, Washington";"US";"r";"program_languages";431;0,26058
"557";"Seattle, Washington";"US";"rdbms";"databases";4;0,00241838
"558";"Seattle, Washington";"US";"ruby";"program_languages";110;0,0665054
"559";"Seattle, Washington";"US";"saas";"analysis_software";4;0,00241838
"560";"Seattle, Washington";"US";"sas";"analysis_software";168;0,101572
"561";"Seattle, Washington";"US";"scala";"program_languages";38;0,0229746
"562";"Seattle, Washington";"US";"scipy";"analysis_software";5;0,00302297
"563";"Seattle, Washington";"US";"spark";"bigdata_tool";211;0,12757
"564";"Seattle, Washington";"US";"splunk";"analysis_software";4;0,00241838
"565";"Seattle, Washington";"US";"spotfire";"analysis_software";1;0,000604595
"566";"Seattle, Washington";"US";"spss";"analysis_software";102;0,0616687
"567";"Seattle, Washington";"US";"sql";"databases";268;0,162031
"568";"Seattle, Washington";"US";"tableau";"analysis_software";56;0,0338573
"569";"Seattle, Washington";"US";"zookeeper";"bigdata_tool";2;0,00120919
